Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Action,Ubisoft,1321458,387670.0,69.38,54.10000000000004,2.11,17.370000000000072,142.94000000000008
Action,Ubisoft Annecy,70142,20105.0,0.8200000000000001,0.32000000000000006,2.08,0.18000000000000002,3.380000000000001
Action,Universal Gamex,3217,1982.0,0.58,0.04,0.0,0.01,0.63
Action,Universal Interactive,52250,16019.0,2.15,1.2300000000000002,0.0,0.31000000000000005,3.68
Action,Unknown,315095,34175.0,2.27,0.9300000000000003,1.01,0.10999999999999999,4.3199999999999985
Action,Video System,7863,1997.0,0.15,0.04,0.0,0.0,0.19
Action,Views,15238,2012.0,0.0,0.0,0.02,0.0,0.02
Action,Vir2L Studios,8504,2009.0,0.14,0.01,0.0,0.01,0.16
Action,Virgin Interactive,79427,23979.0,8.059999999999999,5.2799999999999985,5.26,1.75,20.35
Action,Vivendi Games,376833,88238.0,8.379999999999997,2.9699999999999975,0.0,1.2100000000000006,12.599999999999998
Action,Wanadoo,13258,4003.0,0.27,0.21,0.06,0.07,0.6000000000000001
Action,Warner Bros. Interactive Entertainment,865481,301882.0,57.74000000000004,44.72000000000001,0.9600000000000003,14.80999999999998,118.23999999999992
Action,Wizard Video Games,3268,1982.0,0.58,0.03,0.0,0.01,0.62
Action,Xseed Games,10396,2014.0,0.04,0.01,0.04,0.02,0.11
Action,Yeti,16288,2012.0,0.0,0.0,0.01,0.0,0.01
Action,Zoo Digital Publishing,95389,16042.0,0.6800000000000002,0.08,0.0,0.03,0.7800000000000001
Action,Zoo Games,36454,6028.0,0.26,0.0,0.0,0.01,0.27
Action,Zushi Games,15468,2009.0,0.0,0.02,0.0,0.0,0.02
Action,dramatic create,16592,2016.0,0.0,0.0,0.01,0.0,0.01
Action,"mixi, Inc",2411,2015.0,0.0,0.0,0.86,0.0,0.86
Adventure,10TACLE Studios,15709,2006.0,0.01,0.01,0.0,0.0,0.02
Adventure,3DO,30855,6004.0,0.19,0.14,0.0,0.04,0.35000000000000003
Adventure,505 Games,79156,14058.0,0.23,0.14,0.33,0.05,0.7400000000000001
Adventure,5pb,735160,98567.0,0.0,0.0,1.3400000000000007,0.0,1.3400000000000007
Adventure,ASCII Entertainment,11856,3993.0,0.07,0.05,0.55,0.04,0.71
Adventure,ASCII Media Works,102650,14069.0,0.0,0.0,0.21,0.0,0.21
Adventure,Acclaim Entertainment,27751,7994.0,0.62,0.42,0.1,0.09,1.24
Adventure,Ackkstudios,11763,2009.0,0.07,0.0,0.0,0.0,0.07
Adventure,Acquire,20641,4023.0,0.0,0.0,0.22000000000000003,0.0,0.22000000000000003
Adventure,Activision,212615,50199.0,4.04,0.8700000000000002,0.1,0.41000000000000003,5.42
Adventure,Aksys Games,40171,6040.0,0.09000000000000001,0.0,0.03,0.02,0.13999999999999999
Adventure,Alchemist,458640,64302.0,0.59,0.46,0.9500000000000004,0.15,2.1599999999999993
Adventure,Aqua Plus,169122,26139.0,0.0,0.0,0.7600000000000002,0.01,0.7700000000000002
Adventure,Arc System Works,149338,20113.0,0.14,0.0,0.09999999999999999,0.02,0.27
Adventure,Aria,12211,2006.0,0.0,0.0,0.07,0.0,0.07
Adventure,Asmik Ace Entertainment,13940,2006.0,0.0,0.0,0.04,0.0,0.04
Adventure,Aspyr,14235,2008.0,0.03,0.0,0.0,0.0,0.03
Adventure,Astragon,15692,4020.0,0.11,0.22999999999999998,0.0,0.04,0.38
Adventure,Asylum Entertainment,27964,6030.0,0.0,0.37000000000000005,0.0,0.05,0.43
Adventure,Atari,168179,32081.0,2.4899999999999993,0.7300000000000002,0.17,0.17000000000000004,3.56
